Title,Duration,Date,Time,Location,ImageURL,Description,StartDatetime,EndDatetime,Start,End
Hot blooded,119,09/09,21h30,Salle 500,https://www.etrangefestival.com/images/movies/a4932bb87a299fe9c9072daffffe77cf9555875f.jpg,09/09 - 21h30 - Salle 500 - 119 min,2023-09-09 21:30:00,2023-09-09 23:29:00,2023-09-09T21:30:00,2023-09-09T23:29:00
Hot blooded,119,13/09,22h00,Salle 500,https://www.etrangefestival.com/images/movies/a4932bb87a299fe9c9072daffffe77cf9555875f.jpg,13/09 - 22h00 - Salle 500 - 119 min,2023-09-13 22:00:00,2023-09-13 23:59:00,2023-09-13T22:00:00,2023-09-13T23:59:00
The Midnight Terror,120,09/09,21h45,Salle 100,https://www.etrangefestival.com/images/movies/cd1ce65ef716a25bd9ec9aa818e1a0e5582cac17.jpg,09/09 - 21h45 - Salle 100 - 120 min,2023-09-09 21:45:00,2023-09-09 23:45:00,2023-09-09T21:45:00,2023-09-09T23:45:00
Le collectionneur de cerveaux,100,10/09,15h00,Salle 100,https://www.etrangefestival.com/images/programs/e92069fae7337ec0a79dfe5d1f2ae272cb338113.jpg,10/09 - 15h00 - Salle 100 - 100 min,2023-09-10 15:00:00,2023-09-10 16:40:00,2023-09-10T15:00:00,2023-09-10T16:40:00
Diamond 33,120,10/09,17h00,Salle 100,https://www.etrangefestival.com/images/movies/28a101b602a4d6c8542e12ff3dbbbd815e45fd23.jpg,10/09 - 17h00 - Salle 100 - 120 min,2023-09-10 17:00:00,2023-09-10 19:00:00,2023-09-10T17:00:00,2023-09-10T19:00:00
Diamond 33,120,17/09,21h30,Salle 100,https://www.etrangefestival.com/images/movies/28a101b602a4d6c8542e12ff3dbbbd815e45fd23.jpg,17/09 - 21h30 - Salle 100 - 120 min,2023-09-17 21:30:00,2023-09-17 23:30:00,2023-09-17T21:30:00,2023-09-17T23:30:00
Rimini,114,10/09,17h15,Salle 300,https://www.etrangefestival.com/images/movies/e08f6d89eef59f200c34536fec73468892351bb2.jpg,10/09 - 17h15 - Salle 300 - 114 min,2023-09-10 17:15:00,2023-09-10 19:09:00,2023-09-10T17:15:00,2023-09-10T19:09:00
Rimini,114,17/09,16h45,Salle 100,https://www.etrangefestival.com/images/movies/e08f6d89eef59f200c34536fec73468892351bb2.jpg,17/09 - 16h45 - Salle 100 - 114 min,2023-09-17 16:45:00,2023-09-17 18:39:00,2023-09-17T16:45:00,2023-09-17T18:39:00
La Fuite du Capitaine Volkonogov,120,10/09,18h00,Salle 500,https://www.etrangefestival.com/images/movies/d88b466f362ed3fa0bddc17abac307e116372db8.jpg,10/09 - 18h00 - Salle 500 - 120 min,2023-09-10 18:00:00,2023-09-10 20:00:00,2023-09-10T18:00:00,2023-09-10T20:00:00
La Fuite du Capitaine Volkonogov,120,11/09,14h15,Salle 500,https://www.etrangefestival.com/images/movies/d88b466f362ed3fa0bddc17abac307e116372db8.jpg,11/09 - 14h15 - Salle 500 - 120 min,2023-09-11 14:15:00,2023-09-11 16:15:00,2023-09-11T14:15:00,2023-09-11T16:15:00
Zeria,61,10/09,19h45,Salle 300,https://www.etrangefestival.com/images/movies/505ce82b8e39b1b74083ce3c43d8538c3ab2b02d.jpg,10/09 - 19h45 - Salle 300 - 61 min,2023-09-10 19:45:00,2023-09-10 20:46:00,2023-09-10T19:45:00,2023-09-10T20:46:00
Zeria,61,11/09,16h00,Salle 100,https://www.etrangefestival.com/images/movies/505ce82b8e39b1b74083ce3c43d8538c3ab2b02d.jpg,11/09 - 16h00 - Salle 100 - 61 min,2023-09-11 16:00:00,2023-09-11 17:01:00,2023-09-11T16:00:00,2023-09-11T17:01:00
